pakketnummer,gebied,item,soort,aantal_per_pakket,groep,volgorde
200.0p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.1p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.2p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.3p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.4p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.5p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.6p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.7p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.8p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
200.9p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
201.0p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
201.1p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
201.2p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
201.3p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
201.4p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
201.5p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
201.6p,POKON,Pokon Bio Kleinfruit Mest 1kg ,,1.0,Pokon:,13
114.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
115.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
116.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
117.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
118.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
119.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
120.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
121.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
122.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
123.1p,POKON,Pokon Bio Kamerplanten Voeding 250ml,,1.0,Pokon:,14
1.1,DOZEN,14,,1.0,,13
1.1p,DOZEN,2,,1.0,,1
1.10,DOZEN,15,,1.0,,14
1.10p,DOZEN,14,,1.0,,13
1.10p,DOZEN,15,,1.0,,14
1.11,DOZEN,15,,1.0,,14
1.11p,DOZEN,14,,1.0,,13
1.11p,DOZEN,15,,1.0,,14
1.12,DOZEN,15,,1.0,,14
1.12p,DOZEN,14,,1.0,,13
1.12p,DOZEN,15,,1.0,,14
1.13,DOZEN,15,,1.0,,14
1.13p,DOZEN,14,,1.0,,13
1.13p,DOZEN,15,,1.0,,14
1.14,DOZEN,15,,1.0,,14
1.14p,DOZEN,14,,1.0,,13
1.14p,DOZEN,15,,1.0,,14
1.15,DOZEN,15,,1.0,,14
1.15p,DOZEN,14,,1.0,,13
1.15p,DOZEN,15,,1.0,,14
1.2,DOZEN,14,,1.0,,13
1.2p,DOZEN,2,,1.0,,1
1.20,DOZEN,15,,1.0,,14
1.20p,DOZEN,14,,1.0,,13
1.20p,DOZEN,15,,1.0,,14
1.21,DOZEN,15,,1.0,,14
1.21p,DOZEN,14,,1.0,,13
1.21p,DOZEN,15,,1.0,,14
1.22,DOZEN,15,,1.0,,14
1.22p,DOZEN,14,,1.0,,13
1.22p,DOZEN,15,,1.0,,14
1.3,DOZEN,1,,1.0,,0
1.3p,DOZEN,14,,1.0,,13
1.30,DOZEN,15,,1.0,,14
1.30p,DOZEN,14,,1.0,,13
1.30p,DOZEN,15,,1.0,,14
1.31,DOZEN,15,,1.0,,14
1.31p,DOZEN,14,,1.0,,13
1.31p,DOZEN,15,,1.0,,14
1.32,DOZEN,15,,1.0,,14
1.32p,DOZEN,14,,1.0,,13
1.32p,DOZEN,15,,1.0,,14
1.4,DOZEN,15,,1.0,,14
1.4p,DOZEN,14,,1.0,,13
1.4p,DOZEN,15,,1.0,,14
1.5,DOZEN,15,,1.0,,14
1.5p,DOZEN,14,,1.0,,13
1.5p,DOZEN,15,,1.0,,14
2.1,DOZEN,1,,1.0,,0
2.1p,DOZEN,14,,1.0,,13
2.2,DOZEN,2,,1.0,,1
2.2p,DOZEN,12,,1.0,,11
2.3,DOZEN,1,,1.0,,0
2.3p,DOZEN,14,,1.0,,13
2.4,DOZEN,2,,1.0,,1
2.4p,DOZEN,12,,1.0,,11
2.5,DOZEN,1,,1.0,,0
2.5p,DOZEN,14,,1.0,,13
2.6,DOZEN,1,,1.0,,0
2.6p,DOZEN,14,,1.0,,13
2.7,DOZEN,2,,1.0,,1
2.7p,DOZEN,12,,1.0,,11
2.8,DOZEN,14,,1.0,,13
2.8p,DOZEN,2,,1.0,,1
2.9,DOZEN,12,,1.0,,11
2.9p,DOZEN,4,,1.0,,3
3.1,DOZEN,15,,1.0,,14
3.1p,DOZEN,14,,1.0,,13
3.1p,DOZEN,15,,1.0,,14
3.2,DOZEN,14,,1.0,,13
3.2p,DOZEN,2,,1.0,,1
3.3,DOZEN,15,,1.0,,14
3.3p,DOZEN,14,,1.0,,13
3.3p,DOZEN,15,,1.0,,14
3.4,DOZEN,15,,1.0,,14
3.4p,DOZEN,14,,1.0,,13
3.4p,DOZEN,15,,1.0,,14
3.5,DOZEN,15,,1.0,,14
3.5p,DOZEN,14,,1.0,,13
3.5p,DOZEN,15,,1.0,,14
3.6,DOZEN,14,,1.0,,13
3.6p,DOZEN,2,,1.0,,1
3.7,DOZEN,14,,1.0,,13
3.7p,DOZEN,2,,1.0,,1
3.8,DOZEN,14,,1.0,,13
3.8p,DOZEN,2,,1.0,,1
4.0,DOZEN,15,,1.0,,14
4.0p,DOZEN,14,,1.0,,13
4.0p,DOZEN,15,,1.0,,14
4.1,DOZEN,15,,1.0,,14
4.1p,DOZEN,14,,1.0,,13
4.1p,DOZEN,15,,1.0,,14
4.2,DOZEN,15,,1.0,,14
4.2p,DOZEN,14,,1.0,,13
4.2p,DOZEN,15,,1.0,,14
4.3,DOZEN,15,,1.0,,14
4.3p,DOZEN,14,,1.0,,13
4.3p,DOZEN,15,,1.0,,14
5.1,DOZEN,3,,1.0,,2
5.1p,DOZEN,4,,1.0,,3
5.2,DOZEN,4,,1.0,,3
5.2p,DOZEN,4,,1.0,,3
5.3,DOZEN,3,,1.0,,2
5.3p,DOZEN,4,,1.0,,3
5.4,DOZEN,3,,1.0,,2
5.4p,DOZEN,4,,1.0,,3
5.5,DOZEN,3,,1.0,,2
5.5p,DOZEN,4,,1.0,,3
5.6,DOZEN,3,,1.0,,2
5.6p,DOZEN,4,,1.0,,3
5.7,DOZEN,3,,1.0,,2
5.7p,DOZEN,4,,1.0,,3
6.1,DOZEN,15,,1.0,,14
6.1p,DOZEN,14,,1.0,,13
6.1p,DOZEN,15,,1.0,,14
6.2,DOZEN,14,,1.0,,13
6.2p,DOZEN,2,,1.0,,1
6.3,DOZEN,15,,1.0,,14
6.3p,DOZEN,14,,1.0,,13
6.3p,DOZEN,15,,1.0,,14
6.4,DOZEN,15,,1.0,,14
6.4p,DOZEN,14,,1.0,,13
6.4p,DOZEN,15,,1.0,,14
6.5,DOZEN,15,,1.0,,14
6.5p,DOZEN,14,,1.0,,13
6.5p,DOZEN,15,,1.0,,14
7.1,DOZEN,1,,1.0,,0
7.1p,DOZEN,14,,1.0,,13
7.2,DOZEN,2,,1.0,,1
7.2p,DOZEN,12,,1.0,,11
8.1,DOZEN,1,,1.0,,0
8.1p,DOZEN,14,,1.0,,13
8.2,DOZEN,2,,1.0,,1
8.2p,DOZEN,12,,1.0,,11
8.3,DOZEN,15,,1.0,,14
8.3p,DOZEN,14,,1.0,,13
8.3p,DOZEN,15,,1.0,,14
8.4,DOZEN,14,,1.0,,13
8.4p,DOZEN,2,,1.0,,1
8.5,DOZEN,15,,1.0,,14
8.5p,DOZEN,14,,1.0,,13
8.5p,DOZEN,15,,1.0,,14
8.6,DOZEN,14,,1.0,,13
8.6p,DOZEN,2,,1.0,,1
8.7,DOZEN,15,,1.0,,14
8.7p,DOZEN,14,,1.0,,13
8.7p,DOZEN,15,,1.0,,14
8.8,DOZEN,14,,1.0,,13
8.8p,DOZEN,2,,1.0,,1
8.9,DOZEN,15,,1.0,,14
8.9p,DOZEN,14,,1.0,,13
8.9p,DOZEN,15,,1.0,,14
8.10,DOZEN,14,,1.0,,13
8.10p,DOZEN,2,,1.0,,1
8.11,DOZEN,15,,1.0,,14
8.11p,DOZEN,14,,1.0,,13
8.11p,DOZEN,15,,1.0,,14
8.12,DOZEN,14,,1.0,,13
8.12p,DOZEN,2,,1.0,,1
8.13,DOZEN,15,,1.0,,14
8.13p,DOZEN,14,,1.0,,13
8.13p,DOZEN,15,,1.0,,14
8.14,DOZEN,14,,1.0,,13
8.14p,DOZEN,2,,1.0,,1
8.15,DOZEN,15,,1.0,,14
8.15p,DOZEN,14,,1.0,,13
8.15p,DOZEN,15,,1.0,,14
8.16,DOZEN,14,,1.0,,13
8.16p,DOZEN,2,,1.0,,1
8.17,DOZEN,15,,1.0,,14
8.17p,DOZEN,14,,1.0,,13
8.17p,DOZEN,15,,1.0,,14
8.18,DOZEN,14,,1.0,,13
8.18p,DOZEN,2,,1.0,,1
8.19,DOZEN,1,,1.0,,0
8.19p,DOZEN,14,,1.0,,13
8.20,DOZEN,2,,1.0,,1
8.20p,DOZEN,12,,1.0,,11
8.21,DOZEN,15,,1.0,,14
8.21p,DOZEN,1,,1.0,,0
8.22,DOZEN,15,,1.0,,14
8.22p,DOZEN,14,,1.0,,13
8.22p,DOZEN,15,,1.0,,14
8.23,DOZEN,14,,1.0,,13
8.23p,DOZEN,2,,1.0,,1
8.24,DOZEN,15,,1.0,,14
8.24p,DOZEN,1,,1.0,,0
8.25,DOZEN,15,,1.0,,14
8.25p,DOZEN,14,,1.0,,13
8.25p,DOZEN,15,,1.0,,14
8.26,DOZEN,14,,1.0,,13
8.26p,DOZEN,2,,1.0,,1
9.1,DOZEN,1,,1.0,,0
9.1p,DOZEN,14,,1.0,,13
9.2,DOZEN,2,,1.0,,1
9.2p,DOZEN,12,,1.0,,11
9.4,DOZEN,14,,1.0,,13
9.4p,DOZEN,2,,1.0,,1
9.5,DOZEN,14,,1.0,,13
9.5p,DOZEN,2,,1.0,,1
9.6,DOZEN,14,,1.0,,13
9.6p,DOZEN,2,,1.0,,1
9.7,DOZEN,15,,1.0,,14
9.7p,DOZEN,14,,1.0,,13
9.7p,DOZEN,15,,1.0,,14
9.8,DOZEN,15,,1.0,,14
9.8p,DOZEN,14,,1.0,,13
9.8p,DOZEN,15,,1.0,,14
9.9,DOZEN,EUR40,,1.0,,17
9.9p,DOZEN,EUR40,,1.0,,17
9.10,DOZEN,15,,1.0,,14
9.10p,DOZEN,1,,1.0,,0
9.11,DOZEN,15,,1.0,,14
9.11p,DOZEN,1,,1.0,,0
10.1,DOZEN,1,,1.0,,0
10.1p,DOZEN,14,,1.0,,13
10.2,DOZEN,2,,1.0,,1
10.2p,DOZEN,12,,1.0,,11
10.3,DOZEN,15,,1.0,,14
10.3p,DOZEN,14,,1.0,,13
10.3p,DOZEN,15,,1.0,,14
10.4,DOZEN,15,,1.0,,14
10.4p,DOZEN,14,,1.0,,13
10.4p,DOZEN,15,,1.0,,14
10.5,DOZEN,14,,1.0,,13
10.5p,DOZEN,2,,1.0,,1
10.6,DOZEN,15,,1.0,,14
10.6p,DOZEN,14,,1.0,,13
10.6p,DOZEN,15,,1.0,,14
10.7,DOZEN,15,,1.0,,14
10.7p,DOZEN,14,,1.0,,13
10.7p,DOZEN,15,,1.0,,14
10.8,DOZEN,14,,1.0,,13
10.8p,DOZEN,2,,1.0,,1
10.9,DOZEN,15,,1.0,,14
10.9p,DOZEN,14,,1.0,,13
10.9p,DOZEN,15,,1.0,,14
10.10,DOZEN,15,,1.0,,14
10.10p,DOZEN,14,,1.0,,13
10.10p,DOZEN,15,,1.0,,14
10.11,DOZEN,14,,1.0,,13
10.11p,DOZEN,2,,1.0,,1
11.0,DOZEN,5,,1.0,,4
11.0p,DOZEN,5,,1.0,,4
11.1,DOZEN,5,,1.0,,4
11.1p,DOZEN,5,,1.0,,4
11.2,DOZEN,6,,1.0,,5
11.2p,DOZEN,6,,1.0,,5
11.3,DOZEN,5,,1.0,,4
11.3p,DOZEN,5,,1.0,,4
11.4,DOZEN,5,,1.0,,4
11.4p,DOZEN,5,,1.0,,4
11.5,DOZEN,5,,1.0,,4
11.5p,DOZEN,5,,1.0,,4
11.6,DOZEN,5,,1.0,,4
11.6p,DOZEN,5,,1.0,,4
11.7,DOZEN,5,,1.0,,4
11.7p,DOZEN,5,,1.0,,4
12.1,DOZEN,3,,1.0,,2
12.1p,DOZEN,3,,1.0,,2
12.2,DOZEN,4,,1.0,,3
12.2p,DOZEN,4,,1.0,,3
13.1,DOZEN,15,,1.0,,14
13.1p,DOZEN,14,,1.0,,13
13.1p,DOZEN,15,,1.0,,14
13.2,DOZEN,14,,1.0,,13
13.2p,DOZEN,2,,1.0,,1
13.3,DOZEN,15,,1.0,,14
13.3p,DOZEN,14,,1.0,,13
13.3p,DOZEN,15,,1.0,,14
13.4,DOZEN,15,,1.0,,14
13.4p,DOZEN,14,,1.0,,13
13.4p,DOZEN,15,,1.0,,14
13.5,DOZEN,15,,1.0,,14
13.5p,DOZEN,14,,1.0,,13
13.5p,DOZEN,15,,1.0,,14
13.6,DOZEN,15,,1.0,,14
13.6p,DOZEN,14,,1.0,,13
13.6p,DOZEN,15,,1.0,,14
13.7,DOZEN,2,,1.0,,1
13.7p,DOZEN,12,,1.0,,11
14.1,DOZEN,1,,1.0,,0
14.1p,DOZEN,14,,1.0,,13
14.2,DOZEN,2,,1.0,,1
14.2p,DOZEN,12,,1.0,,11
15.1,DOZEN,14,,1.0,,13
15.1p,DOZEN,2,,1.0,,1
16.1,DOZEN,3,,1.0,,2
16.1p,DOZEN,4,,1.0,,3
16.2,DOZEN,4,,1.0,,3
16.2p,DOZEN,4,,1.0,,3
16.3,DOZEN,3,,1.0,,2
16.3p,DOZEN,3,,1.0,,2
16.4,DOZEN,3,,1.0,,2
16.4p,DOZEN,3,,1.0,,2
16.5,DOZEN,3,,1.0,,2
16.5p,DOZEN,3,,1.0,,2
16.6,DOZEN,3,,1.0,,2
16.6p,DOZEN,3,,1.0,,2
16.7,DOZEN,3,,1.0,,2
16.7p,DOZEN,3,,1.0,,2
16.8,DOZEN,3,,1.0,,2
16.8p,DOZEN,3,,1.0,,2
16.9,DOZEN,3,,1.0,,2
16.9p,DOZEN,3,,1.0,,2
17.1,DOZEN,13,,1.0,,12
17.1p,DOZEN,13,,1.0,,12
17.2,DOZEN,13,,1.0,,12
17.2p,DOZEN,13,,1.0,,12
17.3,DOZEN,13,,1.0,,12
17.3p,DOZEN,13,,1.0,,12
17.4,DOZEN,13,,1.0,,12
17.4p,DOZEN,13,,1.0,,12
17.5,DOZEN,13,,1.0,,12
17.5p,DOZEN,13,,1.0,,12
17.6,DOZEN,13,,1.0,,12
17.6p,DOZEN,13,,1.0,,12
17.7,DOZEN,13,,1.0,,12
17.7p,DOZEN,13,,1.0,,12
18.1,DOZEN,13,,1.0,,12
18.1p,DOZEN,13,,1.0,,12
18.2,DOZEN,13,,1.0,,12
18.2p,DOZEN,13,,1.0,,12
18.3,DOZEN,13,,1.0,,12
18.3p,DOZEN,13,,1.0,,12
18.4,DOZEN,13,,1.0,,12
18.4p,DOZEN,13,,1.0,,12
18.5,DOZEN,13,,1.0,,12
18.5p,DOZEN,13,,1.0,,12
18.6,DOZEN,13,,1.0,,12
18.6p,DOZEN,13,,1.0,,12
18.7,DOZEN,13,,1.0,,12
18.7p,DOZEN,13,,1.0,,12
18.8,DOZEN,13,,1.0,,12
18.8p,DOZEN,13,,1.0,,12
19.0,DOZEN,13,,1.0,,12
19.0p,DOZEN,13,,1.0,,12
19.1,DOZEN,13,,1.0,,12
19.1p,DOZEN,13,,1.0,,12
19.2,DOZEN,13,,1.0,,12
19.2p,DOZEN,13,,1.0,,12
21.0,DOZEN,13,,1.0,,12
21.0p,DOZEN,13,,1.0,,12
21.1,DOZEN,13,,1.0,,12
21.1p,DOZEN,13,,1.0,,12
21.2,DOZEN,13,,1.0,,12
21.2p,DOZEN,13,,1.0,,12
22.1,DOZEN,3,,1.0,,2
22.1p,DOZEN,3,,1.0,,2
22.2,DOZEN,3,,1.0,,2
22.2p,DOZEN,3,,1.0,,2
23.1,DOZEN,8,,1.0,,7
23.1p,DOZEN,8,,1.0,,7
23.2,DOZEN,9,,1.0,,8
23.2p,DOZEN,9,,1.0,,8
23.3,DOZEN,10,,1.0,,9
23.3p,DOZEN,10,,1.0,,9
23.4,DOZEN,10,,1.0,,9
23.4p,DOZEN,10,,1.0,,9
24.1,DOZEN,15,,1.0,,14
24.1p,DOZEN,14,,1.0,,13
24.1p,DOZEN,15,,1.0,,14
24.2,DOZEN,14,,1.0,,13
24.2p,DOZEN,2,,1.0,,1
25.1,DOZEN,15,,1.0,,14
25.1p,DOZEN,14,,1.0,,13
25.1p,DOZEN,15,,1.0,,14
25.2,DOZEN,14,,1.0,,13
25.2p,DOZEN,2,,1.0,,1
26.1,DOZEN,11,,1.0,,10
26.1p,DOZEN,11,,1.0,,10
26.2,DOZEN,11,,1.0,,10
26.2p,DOZEN,11,,1.0,,10
26.3,DOZEN,11,,1.0,,10
26.3p,DOZEN,11,,1.0,,10
26.4,DOZEN,11,,1.0,,10
26.4p,DOZEN,11,,1.0,,10
26.5,DOZEN,11,,1.0,,10
26.5p,DOZEN,11,,1.0,,10
27.1,DOZEN,15,,1.0,,14
27.1p,DOZEN,15,,1.0,,14
27.2,DOZEN,15,,1.0,,14
27.2p,DOZEN,15,,1.0,,14
27.3,DOZEN,15,,1.0,,14
27.3p,DOZEN,15,,1.0,,14
28.1,DOZEN,3,,1.0,,2
28.1p,DOZEN,4,,1.0,,3
28.2,DOZEN,3,,1.0,,2
28.2p,DOZEN,3,,1.0,,2
28.3,DOZEN,3,,1.0,,2
28.3p,DOZEN,3,,1.0,,2
29.1,DOZEN,1,,1.0,,0
29.1p,DOZEN,14,,1.0,,13
29.2,DOZEN,2,,1.0,,1
29.2p,DOZEN,12,,1.0,,11
30.1,DOZEN,1,,1.0,,0
30.1p,DOZEN,14,,1.0,,13
31.0,DOZEN,15,,1.0,,14
31.0p,DOZEN,14,,1.0,,13
31.0p,DOZEN,15,,1.0,,14
31.1,DOZEN,1,,1.0,,0
31.1p,DOZEN,14,,1.0,,13
31.2,DOZEN,2,,1.0,,1
31.2p,DOZEN,12,,1.0,,11
32.1,DOZEN,15,,1.0,,14
32.1p,DOZEN,14,,1.0,,13
32.1p,DOZEN,15,,1.0,,14
32.2,DOZEN,14,,1.0,,13
32.2p,DOZEN,2,,1.0,,1
33.1,DOZEN,15,,1.0,,14
33.1p,DOZEN,14,,1.0,,13
33.1p,DOZEN,15,,1.0,,14
33.2,DOZEN,14,,1.0,,13
33.2p,DOZEN,2,,1.0,,1
34.1,DOZEN,15,,1.0,,14
34.1p,DOZEN,14,,1.0,,13
34.1p,DOZEN,15,,1.0,,14
34.2,DOZEN,14,,1.0,,13
34.2p,DOZEN,2,,1.0,,1
35.1,DOZEN,2,,1.0,,1
35.1p,DOZEN,12,,1.0,,11
36.1,DOZEN,3,,1.0,,2
36.1p,DOZEN,4,,1.0,,3
36.2,DOZEN,3,,1.0,,2
36.2p,DOZEN,4,,1.0,,3
36.3,DOZEN,3,,1.0,,2
36.3p,DOZEN,4,,1.0,,3
36.4,DOZEN,3,,1.0,,2
36.4p,DOZEN,4,,1.0,,3
36.5,DOZEN,3,,1.0,,2
36.5p,DOZEN,4,,1.0,,3
37.0,DOZEN,15,,1.0,,14
37.0p,DOZEN,1,,1.0,,0
39.0,DOZEN,15,,1.0,,14
39.0p,DOZEN,14,,1.0,,13
39.0p,DOZEN,15,,1.0,,14
39.1,DOZEN,1,,1.0,,0
39.1p,DOZEN,14,,1.0,,13
39.2,DOZEN,2,,1.0,,1
39.2p,DOZEN,12,,1.0,,11
40.1,DOZEN,3,,1.0,,2
40.1p,DOZEN,3,,1.0,,2
40.2,DOZEN,3,,1.0,,2
40.2p,DOZEN,3,,1.0,,2
40.3,DOZEN,3,,1.0,,2
40.3p,DOZEN,3,,1.0,,2
40.4,DOZEN,3,,1.0,,2
40.4p,DOZEN,3,,1.0,,2
40.5,DOZEN,3,,1.0,,2
40.5p,DOZEN,3,,1.0,,2
40.6,DOZEN,3,,1.0,,2
40.6p,DOZEN,3,,1.0,,2
40.7,DOZEN,3,,1.0,,2
40.7p,DOZEN,3,,1.0,,2
40.8,DOZEN,3,,1.0,,2
40.8p,DOZEN,3,,1.0,,2
41.1,DOZEN,3,,1.0,,2
41.1p,DOZEN,3,,1.0,,2
41.2,DOZEN,3,,1.0,,2
41.2p,DOZEN,3,,1.0,,2
41.3,DOZEN,8,,1.0,,7
41.3p,DOZEN,8,,1.0,,7
41.4,DOZEN,9,,1.0,,8
41.4p,DOZEN,9,,1.0,,8
44.1,DOZEN,15,,1.0,,14
44.1p,DOZEN,14,,1.0,,13
44.1p,DOZEN,15,,1.0,,14
44.2,DOZEN,14,,1.0,,13
44.2p,DOZEN,2,,1.0,,1
44.3,DOZEN,15,,1.0,,14
44.3p,DOZEN,14,,1.0,,13
44.3p,DOZEN,15,,1.0,,14
44.4,DOZEN,14,,1.0,,13
44.4p,DOZEN,2,,1.0,,1
44.5,DOZEN,15,,1.0,,14
44.5p,DOZEN,14,,1.0,,13
44.5p,DOZEN,15,,1.0,,14
44.6,DOZEN,14,,1.0,,13
44.6p,DOZEN,2,,1.0,,1
44.7,DOZEN,15,,1.0,,14
44.7p,DOZEN,14,,1.0,,13
44.7p,DOZEN,15,,1.0,,14
44.8,DOZEN,14,,1.0,,13
44.8p,DOZEN,2,,1.0,,1
50.1,DOZEN,3,,1.0,,2
50.1p,DOZEN,3,,1.0,,2
50.2,DOZEN,3,,1.0,,2
50.2p,DOZEN,3,,1.0,,2
52.1,DOZEN,1,,1.0,,0
52.1p,DOZEN,14,,1.0,,13
52.2,DOZEN,2,,1.0,,1
52.2p,DOZEN,12,,1.0,,11
53.1,DOZEN,1,,1.0,,0
53.1p,DOZEN,14,,1.0,,13
53.2,DOZEN,2,,1.0,,1
53.2p,DOZEN,12,,1.0,,11
54.1,DOZEN,1,,1.0,,0
54.1p,DOZEN,14,,1.0,,13
54.2,DOZEN,2,,1.0,,1
54.2p,DOZEN,12,,1.0,,11
55.1,DOZEN,1,,1.0,,0
55.1p,DOZEN,14,,1.0,,13
55.2,DOZEN,2,,1.0,,1
55.2p,DOZEN,12,,1.0,,11
56.1,DOZEN,2,,1.0,,1
56.1p,DOZEN,12,,1.0,,11
56.2,DOZEN,2,,1.0,,1
56.2p,DOZEN,12,,1.0,,11
56.3,DOZEN,1,,1.0,,0
56.3p,DOZEN,14,,1.0,,13
56.4,DOZEN,2,,1.0,,1
56.4p,DOZEN,12,,1.0,,11
57.1,DOZEN,11,,1.0,,10
57.1p,DOZEN,11,,1.0,,10
57.2,DOZEN,11,,1.0,,10
57.2p,DOZEN,11,,1.0,,10
57.3,DOZEN,11,,1.0,,10
57.3p,DOZEN,11,,1.0,,10
58.1,DOZEN,11,,1.0,,10
58.1p,DOZEN,11,,1.0,,10
58.2,DOZEN,11,,1.0,,10
58.2p,DOZEN,11,,1.0,,10
60.1,DOZEN,15,,1.0,,14
60.1p,DOZEN,14,,1.0,,13
60.1p,DOZEN,15,,1.0,,14
60.2,DOZEN,14,,1.0,,13
60.2p,DOZEN,2,,1.0,,1
61.1,DOZEN,15,,1.0,,14
61.1p,DOZEN,14,,1.0,,13
61.1p,DOZEN,15,,1.0,,14
61.2,DOZEN,14,,1.0,,13
61.2p,DOZEN,2,,1.0,,1
62.1,DOZEN,15,,1.0,,14
62.1p,DOZEN,14,,1.0,,13
62.1p,DOZEN,15,,1.0,,14
62.2,DOZEN,14,,1.0,,13
62.2p,DOZEN,2,,1.0,,1
63.1,DOZEN,1,,1.0,,0
63.1p,DOZEN,14,,1.0,,13
63.2,DOZEN,2,,1.0,,1
63.2p,DOZEN,12,,1.0,,11
64.1,DOZEN,15,,1.0,,14
64.1p,DOZEN,14,,1.0,,13
64.1p,DOZEN,15,,1.0,,14
64.2,DOZEN,14,,1.0,,13
64.2p,DOZEN,2,,1.0,,1
70.1,DOZEN,15,,1.0,,14
70.1p,DOZEN,14,,1.0,,13
70.1p,DOZEN,15,,1.0,,14
70.2,DOZEN,15,,1.0,,14
70.2p,DOZEN,14,,1.0,,13
70.2p,DOZEN,15,,1.0,,14
70.3,DOZEN,15,,1.0,,14
70.3p,DOZEN,14,,1.0,,13
70.3p,DOZEN,15,,1.0,,14
70.4,DOZEN,15,,1.0,,14
70.4p,DOZEN,14,,1.0,,13
70.4p,DOZEN,15,,1.0,,14
70.5,DOZEN,1,,1.0,,0
70.5p,DOZEN,14,,1.0,,13
70.6,DOZEN,2,,1.0,,1
70.6p,DOZEN,12,,1.0,,11
70.7,DOZEN,14,,1.0,,13
70.7p,DOZEN,2,,1.0,,1
70.8,DOZEN,14,,1.0,,13
70.8p,DOZEN,2,,1.0,,1
70.9,DOZEN,14,,1.0,,13
70.9p,DOZEN,2,,1.0,,1
70.10,DOZEN,15,,1.0,,14
70.10p,DOZEN,14,,1.0,,13
70.10p,DOZEN,15,,1.0,,14
70.11,DOZEN,14,,1.0,,13
70.11p,DOZEN,2,,1.0,,1
70.12,DOZEN,14,,1.0,,13
70.12p,DOZEN,2,,1.0,,1
71.0,DOZEN,15,,1.0,,14
71.0p,DOZEN,14,,1.0,,13
71.0p,DOZEN,15,,1.0,,14
71.1,DOZEN,14,,1.0,,13
71.1p,DOZEN,2,,1.0,,1
71.2,DOZEN,15,,1.0,,14
71.2p,DOZEN,14,,1.0,,13
71.2p,DOZEN,15,,1.0,,14
71.3,DOZEN,14,,1.0,,13
71.3p,DOZEN,2,,1.0,,1
71.4,DOZEN,15,,1.0,,14
71.4p,DOZEN,14,,1.0,,13
71.4p,DOZEN,15,,1.0,,14
71.5,DOZEN,14,,1.0,,13
71.5p,DOZEN,2,,1.0,,1
71.6,DOZEN,15,,1.0,,14
71.6p,DOZEN,14,,1.0,,13
71.6p,DOZEN,15,,1.0,,14
71.7,DOZEN,14,,1.0,,13
71.7p,DOZEN,2,,1.0,,1
71.8,DOZEN,1,,1.0,,0
71.8p,DOZEN,14,,1.0,,13
71.9,DOZEN,2,,1.0,,1
71.9p,DOZEN,12,,1.0,,11
72.0,DOZEN,8,,1.0,,7
72.0p,DOZEN,8,,1.0,,7
72.1,DOZEN,9,,1.0,,8
72.1p,DOZEN,9,,1.0,,8
72.2,DOZEN,8,,1.0,,7
72.2p,DOZEN,8,,1.0,,7
72.3,DOZEN,9,,1.0,,8
72.3p,DOZEN,9,,1.0,,8
72.4,DOZEN,8,,1.0,,7
72.4p,DOZEN,8,,1.0,,7
72.5,DOZEN,9,,1.0,,8
72.5p,DOZEN,9,,1.0,,8
72.6,DOZEN,8,,1.0,,7
72.6p,DOZEN,8,,1.0,,7
72.7,DOZEN,9,,1.0,,8
72.7p,DOZEN,9,,1.0,,8
72.8,DOZEN,8,,1.0,,7
72.8p,DOZEN,8,,1.0,,7
72.9,DOZEN,9,,1.0,,8
72.9p,DOZEN,9,,1.0,,8
